1,Encurtidos y tomates
2,Carne refrigerada
3,Fruta y verdura
4,Pastas y legumbres
5,Congelados fruta y verdura
6,Refrigerados fiambres y quesos
7,Cervezas y vinos
8,Congelados pescadería
9,Pescadería
10,Panes y tostas
11,Harinas y levaduras
12,Gusanitos y frutos secos
13,Refrigerados pescadería
